datetime,slhf,ssr,str,sshf,ssrd,strd,wind,t2mC,d2mC
2019-08-30 07:00:00,-15.773270137908407,135.55156191564123,-54.19403556756432,-13.160586440555651,201.89497181536794,277.1288109371203,0.35058429990954554,6.582932908198529,5.278653451156629
2019-08-30 08:00:00,-43.65345252471795,261.17945542722117,-58.16268840940381,-24.325682134202562,389.4598511865919,284.71687273698575,0.15244743928391627,8.657469215830304,4.096231618966726
2019-08-30 09:00:00,-101.032428999334,393.83686962645953,-88.17508944048937,-56.37454789623044,588.5045866742121,277.3553004491971,0.44700997207223997,10.222071339163392,2.87484975291801
2019-08-30 10:00:00,-148.70697981458494,436.3314044464266,-89.7215251713847,-72.5486920961504,650.5081528132458,296.1124807194072,0.40954481435682555,11.233810401280948,1.9778889340113324
2019-08-30 11:00:00,-153.42389355340526,406.27741787445007,-88.0727230468567,-75.07330333359818,609.8613938883094,309.0417099449225,0.4787638985896124,11.611045613489466,1.621695172898228
2019-08-30 12:00:00,-178.27770256246478,456.53050435617615,-71.33210264261496,-89.20621376849643,682.8838918518621,328.2766677007374,0.6832218996218611,12.435942123234952,1.8345606343422105
2019-08-30 13:00:00,-155.08898854482945,378.0561665802586,-83.53579543304527,-75.11535673890444,561.3684523806115,322.24926708008627,0.49303943549357665,12.013708105123555,1.6379505982247906
2019-08-30 14:00:00,-143.15968672038122,378.7887216305759,-86.370983190496,-84.37601986751723,563.9594621940827,316.3649727334967,0.560107672225015,11.256338594792965,2.682116276507088
2019-08-30 15:00:00,-85.09232262839059,226.7705853752942,-88.14667526437952,-69.62101725952189,335.2947188760728,312.33430742355375,0.867375140562914,10.173365010144664,3.031760237385356
2019-08-30 16:00:00,-75.72699157821869,186.02329007335783,-71.69797084188167,-43.18569521594489,277.93239583985417,311.60074076758855,0.6270508074696863,9.892676896733974,3.1107805366339676
2019-08-30 17:00:00,-46.72481941294106,119.31506815257534,-84.12430797801146,-21.598617437710313,178.57957347270826,291.2907894910282,0.41580555310814366,8.90332046900221,3.1996811664219535
2019-08-30 18:00:00,-21.1903721813529,33.909931836489896,-72.71309727447935,-1.5342457594860914,50.11539664849121,292.91567289351383,0.20222989973891004,8.37206324097724,2.962949727088869
2019-08-30 19:00:00,-7.684051422995722,0.32970196584291345,-46.53896112411581,1.413677017361883,0.513529289804606,307.5993753845876,0.4654271547508776,7.667247583427752,4.3335911985174675
2019-08-30 20:00:00,-3.745143076710196,0.0,-49.070545514977354,2.424351657256872,0.0,296.2747489539213,0.59981308795233,7.1311518198770045,4.195349805589672
2019-08-30 21:00:00,-1.8114084694449168,0.0,-47.06831806306766,2.3573362834104854,0.0,291.1690863619859,0.6694311943193704,6.668214081263216,4.232615461466139
2019-08-30 22:00:00,-0.3082625521515082,0.0,-56.124650699210406,2.2126862532106073,0.0,276.80653442664794,0.8225457866445707,5.872649650884171,4.324380058633551
2019-08-30 23:00:00,-0.1345596652917771,0.0,-32.16020773181097,0.8309120333635818,0.0,295.88598932669703,0.9153759732169555,5.056975473170667,3.8871863217562463
