index;name;d_obs;slope;aspect;lat;lon
32;TN85;0.05;19.6353380061962;309.03775987102006;46.01147000000768;7.458409999998813
34;TN87;0.05;10.438663261277336;133.3714037208378;46.01139000000764;7.458589999998816
35;TN88;0.12;24.752696025321672;41.61681520067678;46.01136000000767;7.4586999999988155
36;TN89;0.1;18.83965064839619;319.85867490616687;46.01136000000768;7.458809999998813
37;TN90;0.09;9.71424795357741;220.18765088358728;46.01134000000766;7.458899999998814
38;TN91;0.11;8.997389992889094;269.34603357778303;46.01132000000767;7.459029999998816
39;TN92;0.19;15.892446938856148;283.87641457992333;46.01130000000764;7.459129999998819
40;TN93;0.12;16.55596970079387;281.53698762831846;46.01128000000765;7.459219999998816
41;TN94;0.13;18.160233478117085;289.6012264378203;46.01124000000764;7.459309999998818
42;TN95;0.3;12.23383474300817;306.1422082190088;46.01121000000766;7.45938999999882
43;TN96;0.31;9.706529196054657;182.57242653532543;46.01120000000766;7.459509999998819
45;TN98;0.18;13.46667253529584;325.57159528974574;46.011730000007645;7.459189999998819
46;TN99;0.09;12.285529013287116;64.22097729089208;46.011860000007665;7.458869999998816
47;TN100;0.04;26.77590775051;309.1439183647397;46.01194000000766;7.458609999998815
48;TN101;0.02;22.5456439057175;317.93409027214125;46.01208000000767;7.458389999998812
49;TN102;0.02;19.276019617794006;86.57326301262445;46.012230000007655;7.457669999998814
50;TN103;0.02;25.33085327225972;104.23789668123635;46.012280000007635;7.457429999998814
56;TN109;0.03;18.65110789000533;64.2657530662022;46.01226000000768;7.456489999998806
67;TN124;0.16;21.231187866368426;93.71115167028115;46.012560000007674;7.455949999998808
68;TN125;0.1;16.837985584546495;102.97064964034186;46.01263000000766;7.456069999998806
69;TN126;0.04;22.53847921826712;96.89716097309153;46.01265000000768;7.456179999998808
70;TN127;0.05;18.50694207309948;101.31417078897528;46.01265000000766;7.456459999998808
71;TN128;0.19;16.03748166415156;127.64298317564868;46.012820000007665;7.456749999998809
72;TN131;0.02;15.462770104408264;266.8812957540895;46.01354000000766;7.457649999998811
73;TN133;0.03;28.864849508172867;281.66791434300416;46.01270000000768;7.457269999998811
74;TN134;0.1;29.495015088249655;286.54544541884405;46.01275000000766;7.457239999998809
75;TN135;0.02;29.26069513956706;293.53306044594854;46.01273000000767;7.457139999998809
76;TN136;0.04;25.11709658874244;267.0483284233438;46.01283000000766;7.45707999999881
77;TN137;0.04;17.26432610951106;277.73863500223825;46.01278000000767;7.45693999999881
78;TN138;0.02;23.23652407459377;296.68375034535944;46.012550000007664;7.456899999998811
79;TN139;0.01;28.660864609043774;286.090058022168;46.01255000000767;7.457009999998809
80;TN140;0.02;31.637373490062185;289.86770775290177;46.01250000000766;7.45714999999881
81;TN141;0.02;27.623928454677756;115.13469320098521;46.01236000000764;7.457409999998811
82;TN142;0.04;25.12188622196025;117.67337841777628;46.01233000000765;7.457649999998813
83;TN143;0.01;15.662922335644158;316.8020053189417;46.01215000000764;7.458139999998818
84;TN144;0.05;29.98802670070103;296.5642978201148;46.01202000000767;7.458539999998815
85;TN145;0.06;20.271580583222057;298.1295491965718;46.011970000007636;7.458689999998817
86;TN146;0.18;10.366138937776206;253.85040231797458;46.01180000000765;7.459119999998817
87;TN147;0.17;20.039383628504062;307.3947581806126;46.01170000000766;7.459389999998818
88;TN148;0.22;18.28021045071738;304.5780464470004;46.01166000000765;7.459509999998817
89;TN149;0.3;14.792088702260601;290.8640642623411;46.01176000000767;7.459759999998816
90;TN150;0.13;11.688065249579294;301.09293565169196;46.01201000000765;7.4595399999988174
91;TN151;0.18;9.601609238903293;257.49789813847826;46.012320000007655;7.459089999998818
92;TN152;0.04;15.682213626617242;311.01251716470256;46.012460000007664;7.458869999998818
93;TN153;0.04;27.13290018712226;299.5954051175337;46.012530000007665;7.458599999998816
94;TN154;0.01;11.368685768629478;297.1589858114358;46.01262000000768;7.458239999998814
95;TN156;0.07;16.389025151729584;110.94844190881264;46.01283000000765;7.457869999998812
96;TN157;0.11;17.21700554456168;93.28833154670576;46.01294000000766;7.457649999998813
97;TN158;0.11;21.235325834834356;104.35346726270724;46.01290000000767;7.456639999998809
